вс 12.04,🏃 Длительный бег (на улице!),Z2-база,185–205,"Длительный бег 26–28 км на улице. Темп 6:20–7:00/км. ЧСС ≤ 155! Гели каждые 40 мин.",Z2 (140–155),Аэробная выносливость (прогрессия!)
,,,,,,
,,,,,,
========== НЕДЕЛЯ 16 (13.04–19.04.2026) ==========,,,,,,
Период: Развивающий — Блок 2a (неделя 3) | Тип: Пиковая нагрузочная перед разгрузкой,,,,,,
"Цели: Выход на 52–55 км — пик блока 2a! Длительный 28–30 км (outdoor, с набором). Горный блок 40 мин. Stairmaster 30 мин. Внимание: напряжение 108, первые дни аккуратно.",,,,,,
"Состав: 3 беговые (сэндвич 14–15 км + горы с лестницей + длительная 28–30 км) + 1 кроссфит (среда) + 1 силовая (суббота)",,,,,,
Объём бега: ~52–55 км | D+: ~800 м | Интенсивность: Z2 (основная) + Z2–Z3 (горы),,,,,,
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 13.04,🛋️ Отдых,Восстановление,—,"Полный отдых. Напряжение 108 — дать организму восстановиться!",—,Восстановление
вт 14.04,🏃 Бег Z2 (сэндвич) + 💪 Силовая ноги,Аэробная база + сила,120–130,"Бег-разминка 3–4 км → Силовая ноги 25 мин → Добег 11–12 км. Итого ~15 км.",Z2 (140–155),Аэробная база + сила
ср 15.04,🏋️ Кроссфит,Функциональная выносливость,55–60,"For Time 3 раунда (гребля + box jumps + KB clean + wall ball + SkiErg) → Кор «Изометрия» 12 мин",Z2–Z3 (140–170),Кондиция (последний кроссфит перед разгрузкой!)
чт 16.04,🛋️ Отдых,Восстановление,—,Полный отдых,—,Восстановление
пт 17.04,🏔️ Бег в гору + 🪜 Лестница + 🧘 Кор,Специфика подъёма,95–105,"Бег в гору 40 мин (~6–7 км) → Стеймастер 30 мин → Кор «Стабилизация» 15 мин",Z2–Z3 (140–165),Горная специфика — пик блока!
сб 18.04,💪 Силовая верх + 🧘 Кор,Сила + стабилизация,55–60,Силовая верх 30 мин → Кор «Латераль» 20 мин,Z1–Z2 (133–155),Сила + кор
вс 19.04,🏃 Длительный бег (на улице!),Z2-база,195–215,"Длительный бег 28–30 км. Максимум рельефа. Темп 6:20–7:10/км. ЧСС ≤ 155! Гели каждые 40 мин.",Z2 (140–155),Аэробная выносливость — пик блока 2a!
,,,,,,
,,,,,,
========== НЕДЕЛЯ 17 (20.04–26.04.2026) ==========,,,,,,
Период: Развивающий — Блок 2a (неделя 4) | Тип: 🔻 РАЗГРУЗКА,,,,,,
"Цели: Суперкомпенсация после пика 53 км и рекорда 30.2 км. Выносливость 95 — дать ей закрепиться! Объём −33%. Кроссфит убран. Сохранить качество коротких работ.",,,,,,
"Состав: 2 беговые (лёгкий сэндвич ~10 км + укороченный длительный 18–20 км) + горный блок 28 мин + кор",,,,,,
Объём бега: ~36–38 км | D+: ~500 м | Интенсивность: Z1–Z2 строго,,,,,,
,,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 20.04,🛋️ Отдых,Восстановление,—,"Полный отдых. TRIMP 350 в воскресенье — организм работает!",—,Восстановление
вт 21.04,🏃 Лёгкий бег (сэндвич) + 💪 Силовая ноги (лайт),Аэробная поддержка,85–95,"Бег-разминка 3 км → Силовая ноги 15 мин (−40% объёма) → Добег 7 км. Темп 7:00–7:30. ЧСС ≤ 145!",Z1 (133–145),Поддержание тонуса без нагрузки
ср 22.04,🛋️ Отдых,Восстановление,—,Полный отдых. Разминка / растяжка по желанию,—,Восстановление
чт 23.04,🛋️ Отдых,Восстановление,—,Полный отдых,—,Восстановление
пт 24.04,🏔️ Бег в гору (укороченный) + 🧘 Кор,Специфика (−30%),50–55,"Бег в гору 28 мин (уклон 7–8%, без 12%) → Кор 15 мин. Без стеймастера!",Z2–Z3 (140–165),Горная специфика — поддержание
сб 25.04,🛋️ Отдых,Восстановление,—,Полный отдых. Прогулка / велосипед по желанию,—,Восстановление
вс 26.04,🏃 Укороченный длительный бег,Z1–Z2 база,120–135,"Длительный бег 18–20 км. Темп 6:40–7:10/км. ЧСС строго ≤ 150! Гель на 60 мин.",Z1–Z2 (133–150),Аэробная поддержка (разгрузка)
,,,,,
========== НЕДЕЛЯ 18 (27.04–03.05.2026) ==========,,,,,
Период: Развивающий — Блок 2b (неделя 1 из 4) | Тип: 📈 НАГРУЗОЧНАЯ — НОВЫЙ ФОРМАТ,,,,,
"Цели: ❌ Кроссфит убран! Введён 4-й беговой день. Выносливость 98 → новый рекорд. Адаптация к 4 бегам/нед. Силовая → специфика для ног.",,,,,
"Состав: 4 беговые (вт сэндвич + ср лёгкий + пт горный + вс длительный) + сб силовая верх+кор",,,,,
Объём бега: ~53 км | D+: ~900 м | Силовые: 1×ноги (вт) + 1×верх (сб) | Длительный: 28 км,,,,,
,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 27.04,🛋️ Отдых,Восстановление,—,Полный отдых после супер-разгрузки. Йога / растяжка по желанию,—,Восстановление
вт 28.04,🏃 Сэндвич Z2 + 🦵 Специфическая силовая ноги,Аэробная база + специфика,135–150,"Бег-разминка 3–4 км → Силовая ноги+кор 30 мин (присед, выпады, step-ups, эксцентрика) → Добег 8–9 км. Темп 6:40–7:00. ЧСС ≤ 155.",Z2 (140–155),Аэробная база + сила на свежих ногах
ср 29.04,🏃 Лёгкий бег outdoor (НОВОЕ!),Z1–Z2 восстановительный,55–65,"Лёгкий бег 7–8 км по улице. Темп 6:50–7:30/км (под рельеф). ЧСС строго ≤ 145. Замена кроссфита.",Z1 (133–145),Аэробная база outdoor (4-й бег)
чт 30.04,🛋️ Отдых,Восстановление,—,Полный отдых,—,Восстановление
пт 01.05,🏔️ Бег в гору + 🪜 Стеймастер + 🧘 Кор,Силовая выносливость,90–100,"Бег в гору 35 мин (уклон 8% → 10–12%, ЧСС Z2–Z3) → Стеймастер 30 мин (Z2) → Кор 15 мин. Дистанция ~5 км.",Z2–Z3 (140–168),Горная специфика
сб 02.05,💪 Силовая верх + кор,Поддержание,55–65,"Жим, тяги (без штанги в наклоне), подтягивания, кор. RPE 7. Минимум ног — они получили нагрузку во вт.",—,Поддержание верха + стабилизация
вс 03.05,🏃 Длительный бег,Z1–Z2 база,180–195,"Длительный бег 28 км. Темп 6:30–7:00/км. ЧСС ≤ 152. Гели каждые 45 мин. Outdoor по пересечёнке предпочтительно (как 26.04).",Z1–Z2 (133–152),Аэробная выносливость (новый рекорд)
,,,,,
========== НЕДЕЛЯ 19 (04.05–10.05.2026) ==========,,,,,
Период: Развивающий — Блок 2b (неделя 2 из 4) | Тип: 📈 НАГРУЗОЧНАЯ,,,,,
"Цели: Прогрессия объёма после рекорда 30.3 км outdoor. Длительный 31 км. D+ → 1000 м. Закрепление 4-беговой недели.",,,,,
"Состав: 4 беговые (вт сэндвич + ср outdoor лёгкий + пт горный + вс длительный) + сб силовая верх+кор",,,,,
Объём бега: ~58 км | D+: ~1000 м | Силовые: 1×ноги штанга (вт) + 1×ноги стеймастер (пт) + 1×верх (сб) | Длительный: 31 км,,,,,
,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 04.05,🛋️ Отдых,Восстановление,—,Полный отдых после рекордного 30.3 км. Йога / растяжка по желанию,—,Восстановление
вт 05.05,🏃 Сэндвич Z2 + 🦵 Специфическая силовая ноги,Аэробная база + специфика,140–155,"Бег-разминка 3–4 км → Силовая ноги+кор 30 мин (присед 55 кг, болгарские выпады, step-ups, эксцентрика) → Добег 9 км. Темп 6:40–7:00.",Z2 (140–155),Сила на свежих + бег на уставших ногах
ср 06.05,🏃 Лёгкий бег outdoor,Z1–Z2 восстановительный,60–70,"Лёгкий бег 9 км по улице. Темп 6:50–7:30/км (под рельеф). ЧСС строго ≤ 145. Маршрут с D+ 50–100 м (бонус специфики).",Z1 (133–145),Аэробная база outdoor (4-й бег)
чт 07.05,🛋️ Отдых,Восстановление,—,Полный отдых. Йога по желанию,—,Восстановление
пт 08.05,🏔️ Силовая ходьба в гору + 🪜 Стеймастер (силовая ног) + 🧘 Кор,Специфическая силовая выносливость (power-hike),95–105,"Силовая ходьба 38 мин (уклон 8% → 10% → 12% → 🎯15% дебют → 12% → 8%). Имитация power-hike с палками. Стеймастер 30 мин (Z2) → Кор 15 мин.",Z2–Z3 (148–170),Дебют 15% — главная специфика гонки
сб 09.05,💪 Силовая верх + кор,Поддержание,55–65,"Жим лёжа, подтягивания, тяга гантели, жим над головой, отжимания на брусьях, кор. RPE 7. Минимум ног.",—,Поддержание верха + кор
вс 10.05,🏃 Длительный бег,Z1–Z2 база,200–215,"Длительный бег 31 км. Темп 6:30–7:00/км. ЧСС ≤ 152. 4 геля. Outdoor с D+ 300–500 м обязательно — специфика трейла.",Z1–Z2 (133–152),Длительный outdoor с D+ — новый рекорд
,,,,,
========== НЕДЕЛЯ 20 (11.05–17.05.2026) ==========,,,,,
Период: Развивающий — Блок 2b (неделя 3 из 4) | Тип: 📈 ПИК БЛОКА 2b,,,,,
"Цели: Пик объёма блока 2b. Длительный 33 км outdoor с D+ 500–700 м. Закрепление 15% угла — увеличить блок до 6 мин. Выносливость 98 → удерживать.",,,,,
"Состав: 4 беговые (вт сэндвич + ср outdoor + пт power-hike + вс длительный) + сб силовая верх+кор",,,,,
Объём бега: ~63 км | D+: ~1200 м | Силовые: 1×ноги штанга (вт) + 1×ноги стеймастер (пт) + 1×верх (сб) | Длительный: 33 км,,,,,
,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 11.05,🛋️ Отдых,Восстановление,—,Полный отдых после рекордного 32.3 км. Йога / растяжка по желанию,—,Восстановление
вт 12.05,🏃 Сэндвич Z2 + 🦵 Силовая ноги + 🧘 Кор,Аэробная база + сила + кор,145–160,"Бег-разминка 3 км → Силовая ноги 30 мин (присед 57.5 кг, болгарские выпады, step-ups, эксцентрика) → Добег 9 км → Кор 12 мин в конце. Итого бега: 12 км.",Z2 (140–155),Сила на свежих + бег на уставших + кор в финале
ср 13.05,🏃 Лёгкий бег outdoor,Z1–Z2 восстановительный,75–85,"Лёгкий бег 12 км по улице (+2 км перенесены со вторника). Темп 6:50–7:30/км (под рельеф). ЧСС ≤ 145. Маршрут с D+ 100–200 м.",Z1 (133–145),Аэробная база outdoor (4-й бег)
чт 14.05,🛋️ Отдых,Восстановление,—,Полный отдых. Йога / растяжка по желанию,—,Восстановление
пт 15.05,🏔️ Силовая ходьба в гору + 🪜 Стеймастер (силовая ног) + 🧘 Кор,Power-hike + силовая выносливость,100–110,"Силовая ходьба 40 мин (8% → 10% → 12% → 🎯15% × 6 мин → 12% → 8%). Стеймастер 32 мин (Z2). Кор 15 мин.",Z2–Z3 (148–170),Закрепление 15% — главная специфика гонки
сб 16.05,💪 Силовая верх + кор,Поддержание,55–65,"Жим лёжа 55 кг, подтягивания, тяга гантели 18 кг, жим над головой, отжимания на брусьях, кор. RPE 7. Минимум ног.",—,Поддержание верха + кор
вс 17.05,🏃 Длительный бег,Z1–Z2 база,210–225,"Длительный бег 33 км. Темп 6:20–6:50/км. ЧСС ≤ 152. 5 гелей. Outdoor с D+ 500–700 м — пиковая специфика блока 2b.",Z1–Z2 (133–152),Длительный outdoor — пиковый объём блока 2b
,,,,,
========== НЕДЕЛЯ 21 (18.05–24.05.2026) ==========,,,,,
Период: Развивающий — Блок 2b (неделя 4 из 4) | Тип: 🔻 РАЗГРУЗКА,,,,,
"Цели: Суперкомпенсация после пика 64.8 км + B2B 34.7 км. Выносливость 101 → дать ей закрепиться. Объём −40%. Без 15% угла.",,,,,
"Состав: 3 беговые (вт лёгкий сэндвич + пт короткий горный + вс укороченный длительный) — БЕЗ среды!",,,,,
Объём бега: ~38 км | D+: ~500 м | Силовые: 1×ноги (вт, лайт) + 1×ноги стеймастер (пт, лайт) | Длительный: 22 км,,,,,
,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 18.05,🛋️ Отдых,Восстановление,—,"Полный отдых после пика. Йога / растяжка по желанию.",—,Восстановление
вт 19.05,🏃 Лёгкий сэндвич + 🦵 Силовая ноги (лайт),Аэробная поддержка,90–100,"Бег-разминка 3 км → Силовая ноги 15 мин (−40% от пика, веса −20%) → Добег 7 км. Темп 7:00–7:30. ЧСС ≤ 145!",Z1 (133–145),Поддержание тонуса без нагрузки
ср 20.05,🛋️ Отдых,Восстановление,—,"Полный отдых. Разминка / растяжка по желанию.",—,Восстановление
чт 21.05,🛋️ Отдых,Восстановление,—,Полный отдых,—,Восстановление
пт 22.05,🏔️ Силовая ходьба (укороченная) + 🪜 Стеймастер (лайт) + 🧘 Кор,Специфика (−30%),60–70,"Силовая ходьба 28 мин (8% → 10% → 12% МАКС, БЕЗ 15%) → Стеймастер 20 мин (Z2) → Кор 10 мин",Z2 (140–158),Горная специфика — поддержание
сб 23.05,🛋️ Отдых,Восстановление,—,"Полный отдых. Прогулка / велосипед по желанию.",—,Восстановление
вс 24.05,🏃 Укороченный длительный бег,Z1–Z2 база,135–150,"Длительный бег 22 км. Темп 6:30–7:00/км. ЧСС строго ≤ 150! 3 геля. Outdoor с D+ 200–300 м (умеренно).",Z1–Z2 (133–150),Аэробная поддержка (разгрузка)
,,,,,
========== НЕДЕЛЯ 22 (25.05–31.05.2026) ==========,,,,,
Период: Развивающий — Блок 2c (неделя 1 из 4) | Тип: 📈 НАГРУЗОЧНАЯ — НАЧАЛО B2B,,,,,
"Цели: 🆕 Дебют Back-to-back выходных (Сб 15 км + Вс 23 км). 🆕 Дебют горных интервалов (пт). Беговая экономичность 99 → закрепить и пробить 101.",,,,,
"Состав: 4 беговые (вт сэндвич + ср outdoor + пт горные интервалы + сб B2B-1 длительный + вс B2B-2 короткий в путешествии)",,,,,
Объём бега: ~64 км | D+: ~1300 м | Силовые: 1×ноги штанга (вт) + 1×ноги стеймастер (пт лайт) | B2B: 25+13 = 38 км (перевёрнутый формат),,,,,
,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 25.05,🛋️ Отдых,Восстановление,—,Полный отдых после разгрузки. Йога / растяжка по желанию,—,Восстановление
вт 26.05,🏃 Сэндвич Z2 + 🦵 Силовая ноги + 🧘 Кор,Аэробная база + сила + кор,150–165,"Бег-разминка 3 км → Силовая ноги 30 мин (присед 60 кг, болгарские выпады, step-ups, эксцентрика) → Добег 9 км → Кор 12 мин в конце",Z2 (140–155),Сила на свежих + бег на уставших + кор
ср 27.05,🏃 Лёгкий бег outdoor,Z1–Z2 восстановительный,65–75,"Лёгкий бег 10 км по улице. Темп 6:50–7:30/км (под рельеф). ЧСС ≤ 145. Маршрут с D+ 80–150 м.",Z1 (133–145),Аэробная база outdoor (4-й бег)
чт 28.05,🛋️ Отдых,Восстановление,—,Полный отдых. Йога / растяжка,—,Восстановление
пт 29.05,🏔️ 🆕 ГОРНЫЕ ИНТЕРВАЛЫ + 🪜 Стеймастер (силовая ног) + 🧘 Кор,VO2max/лактатный порог + специфика,80–95,"🆕 5×3 мин в гору 7% Z4 (бег 8:00–9:00/км) + 3 мин восстановление Z1 (ходьба 2%). Стеймастер 20 мин (лайт). Кор 12 мин.",Z4 интервал / Z1 восст,Дебют горных интервалов — VO2max+ЛП
сб 30.05,🏃 🆕 B2B день 1 — длительный бег (главная работа),Z1–Z2 база,160–175,"🆕 ПЕРВЫЙ B2B! Длительный 25 км (перенесён с вс из-за поездки). Темп 6:30–7:00/км. ЧСС ≤ 152. 4 геля. Outdoor с D+ 400–600 м.",Z1–Z2 (140–152),Главный длительный недели + специфика D+
вс 31.05,🏃 🆕 B2B день 2 — короткий бег на уставших (в путешествии),Z1–Z2 специфика,85–95,"🆕 B2B-2 в путешествии: 13 км на уставших ногах после Сб. Темп 6:45–7:15/км. ЧСС ≤ 150. Без рельефа — любая ровная поверхность.",Z1–Z2 (140–150),Бег на уставших ногах — главная специфика B2B
,,,,,
========== НЕДЕЛЯ 23 (01.06–07.06.2026) ==========,,,,,
Период: Развивающий — Блок 2c (неделя 2 из 4) | Тип: 📈 НАГРУЗОЧНАЯ — B2B,,,,,
"Цели: Закрепить B2B-формат с полноценным воскресеньем. Выносливость 110 (рекорд!) → удержать. Прогрессия объёма после сильной субботы прошлой недели — аккуратно, со встроенной гибкостью.",,,,,
"Состав: 4 беговые (вт сэндвич + ср outdoor + пт силовая ходьба/стеймастер + сб B2B-1 + вс B2B-2)",,,,,
"Объём бега: ~64–67 км | D+ outdoor: ~400–500 м (повторы на трассе) + дорожка/стейм ~1100 м = ПОЛНЫЙ D+ ~1600 м | Силовые: 1×ноги штанга (вт) + 1×ноги стеймастер (пт) | B2B: 16+26 = 42 км | ⚠️ Акцент на СПУСК (повторы)",,,,,
,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 01.06,🛋️ Отдых,Восстановление,—,Полный отдых после поездки. Йога / растяжка по желанию,—,Восстановление
вт 02.06,🏃 Сэндвич Z2 + 🦵 Силовая ноги + 🧘 Кор,Аэробная база + сила + кор,150–165,"Бег-разминка 3 км → Силовая ноги 30 мин (присед 60 кг, болгарские выпады, step-ups, эксцентрика) → Добег 9 км → Кор 12 мин в конце",Z2 (140–155),Сила на свежих + бег на уставших + кор
ср 03.06,🏃 Лёгкий бег outdoor,Z1–Z2 восстановительный,65–75,"Лёгкий бег 10 км по улице. Темп 6:50–7:30/км (под рельеф). ЧСС ≤ 145. Маршрут с D+ 80–150 м.",Z1 (133–145),Аэробная база outdoor (4-й бег)
чт 04.06,🛋️ Отдых,Восстановление,—,Полный отдых. Йога / растяжка,—,Восстановление
пт 05.06,🏔️ Силовая ходьба в гору + 🪜 Стеймастер (силовая ног) + 🧘 Кор,Power-hike + силовая выносливость,95–105,"Силовая ходьба 38 мин (8% → 10% → 12% → 15% × 6 мин → 12% → 8%). Стеймастер 25 мин (Z2). Кор 12 мин. (Интервалы были на прошлой нед.)",Z2–Z3 (148–170),Горная специфика — power-hike
сб 06.06,🏃 B2B день 1 — горные повторы на трассе с перепадом,Z1–Z2 + спуск (эксцентрика),100–115,"B2B-1: ~16 км повторами на трассе с перепадом. Подъём (бег/power-hike) + КОНТРОЛИРУЕМЫЙ СПУСК (эксцентрика квадрицепса!) + связка. 6–10 кругов. НЕ выкладываться. Запасной вариант: ровный бег + спуски по лестнице.",Z1–Z3 (140–165),Спуск — главная цель (то что не даёт дорожка)
вс 07.06,🏃 B2B день 2 — длительный бег (на уставших ногах),Z1–Z2 специфика,165–180,"B2B-2: длительный 26 км на уставших ногах. Темп 6:45–7:15/км (медленнее обычного!). ЧСС ≤ 152. 4–5 гелей. Outdoor с D+ 400–600 м — главная специфика гонки!",Z1–Z2 (140–152),Бег на уставших ногах — ключ к 24-часовой гонке
,,,,,
========== НЕДЕЛЯ 24 (08.06–14.06.2026) ==========,,,,,
Период: Развивающий — Блок 2c (неделя 3) | Тип: ⭐ ПИК БЛОКА 2c — 3-дневный блок (поездка),,,,,
"Цели: Пик объёма блока 2c через 3-дневный беговой блок Пт-Сб-Вс (поездка). НО: 07.06 был флаг ПЕРЕТРЕНИРОВАННОСТЬ (напряжение 138 + жара). Контроль восстановления обязателен. Чередование: на этой неделе ГОРНЫЕ ИНТЕРВАЛЫ (пт утро).",,,,,
"⚠️ ПРАВИЛО НЕДЕЛИ: проверять статус Polar. Если к среде НЕ вернулся в «Поддержание»/«Эффективность» — срезать объём на 20% (пт вечер отменить, сб/вс по 14 км).",,,,,
"Состав: 5 беговых (вт сэндвич + ср outdoor + пт двойник: интервалы утро + 9 км вечер + сб 18 км + вс 18 км) + 2 верх тела (пн, чт). 🆕 3-дневный блок на уставших ногах.",,,,,
"Объём бега: ~73 км | D+ outdoor (зависит от рельефа поездки) + тренаж = ПОЛНЫЙ D+ ~1800 м | 3-дн блок: 15+18+18 = 51 км | Силовые: 1×ноги (вт) + 1×стейм (пт) + 2×верх (пн, чт)",,,,,
,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 08.06,💪 Силовая верх (своя программа),Сила верха (ноги отдыхают),30,"Верх тела 30 мин по своей программе (подтягивания/отжимания). БЕЗ отказа (после перетрен 07.06). Ноги полностью отдыхают.",—,Верх + восстановление ног
вт 09.06,🏃 Сэндвич Z2 + 🦵 Силовая ноги + 🧘 Кор,Аэробная база + сила + кор,145–160,"ТОЛЬКО если статус Polar вернулся ≥ «Поддержание»! Бег 3 км → силовая ноги 30 мин (присед 60 кг) → добег 9 км → кор 12 мин. Если статус красный — заменить на лёгкий бег 8 км Z1.",Z2 (140–155),Сила + бег (при готовности)
ср 10.06,🏃 Лёгкий бег outdoor,Z1–Z2 восстановительный,65–75,"Лёгкий бег 10 км. Темп 6:50–7:30/км. ЧСС ≤ 145. 🔑 КОНТРОЛЬНАЯ ТОЧКА: если статус Polar всё ещё «Перетренированность» — срезать неделю на 20%, пт вечер отменить.",Z1 (133–145),Аэробная база + проверка восстановления
чт 11.06,💪 Силовая верх (своя программа),Сила верха (перед блоком),30,"Верх тела 30 мин по своей программе. Умеренно, без отказа (впереди 3-дн блок). Ноги отдыхают.",—,Верх + свежие ноги к пятнице
пт 12.06,🏔️ ДВОЙНИК: Горные интервалы (утро) + 🏃 9 км (вечер) + 🧘 Кор,VO2max + аэробный объём,утро 70–85 / вечер 60–70,"УТРО: 5×3 мин в гору 7% Z4 (8:00–8:30/км) + 3 мин восст Z1 (2%). Стеймастер 15 мин лайт. Кор 12 мин. ВЕЧЕР: лёгкий бег 9 км СТРОГО Z1 (≤145), восстановительный. Если устал — 4 интервала / вечер 7 км.",утро Z4 / вечер Z1,Двойник — старт 3-дневного блока
сб 13.06,🏃 18 км — повторы/длительный (поездка),Z1–Z2 + спуск (если рельеф),105–125,"18 км вечером. ЕСЛИ В ПОЕЗДКЕ ЕСТЬ РЕЛЬЕФ — повторами с КОНТРОЛИРУЕМЫМ СПУСКОМ (эксцентрика!). Если плоско — ровный бег Z1–Z2. НЕ выкладываться (впереди вс). Жара — вода с собой.",Z1–Z3 (140–165),Спуск (D−) или объём + база для вс
вс 14.06,🏃 18 км — длительный (на уставших ногах),Z1–Z2 специфика,105–125,"18 км вечером на уставших ногах (3-й день блока!). Темп 6:45–7:20/км (медленнее!). ЧСС ≤ 152. 2–3 геля. Outdoor с D+ если есть. При перегреве/усталости — сократить до 14 км.",Z1–Z2 (140–152),Финал 3-дневного блока — ключ к гонке
,,,,,
========== НЕДЕЛЯ 25 (15.06–21.06.2026) ==========,,,,,
Период: Развивающий — Блок 2c (неделя 4) | Тип: 🔻 РАЗГРУЗКА (весь объём в 5 дней),,,,,
"Цели: ОБЯЗАТЕЛЬНАЯ разгрузка после пика. Неделя 24 прошла «через перетренированность» (напряжение 150 рекорд), но дала рекорд выносливости 112. Сейчас — суперкомпенсация. Объём −40%, интенсивность УБРАНА (без интервалов). Сб-Вс в дороге = отдых.",,,,,
"⚠️ ГЛАВНОЕ: дать организму восстановиться. Если статус Polar красный — сокращай ещё. Цель недели — выйти в «Эффективность»/«Детренированность», свежесть к блоку 3.",,,,,
"Состав: всё в Пн-Пт (Сб-Вс дорога). 3-4 беговые + 1 лёгкая силовая. БЕЗ интервалов, БЕЗ B2B.",,,,,
"Объём бега: ~45 км (−40% от пика) | D+ ~700 м (умеренно) | Длительный: 17 км (чт) | Силовые: 1 лёгкая ноги (вт)",,,,,
,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
пн 15.06,🛋️ Отдых + 💪 верх (своя),Восстановление после пика,30,"Полный отдых для ног после пикового блока. Верх тела 30 мин по своей программе (по желанию). Растяжка/йога. Следи за пульсом покоя.",—,Восстановление
вт 16.06,🏃 Лёгкий бег + 🦵 Силовая ноги (лёгкая) + 🧘 Кор,Восстановительный + лёгкая сила,75–85,"Лёгкий бег 10 км Z1–Z2 (6:50–7:20/км, ЧСС ≤ 148). Силовая ноги ЛЁГКАЯ 25 мин (вес −20%, без отказа). Кор 10 мин. НЕ грузить.",Z1–Z2 (135–148),Лёгкое движение + поддержка силы
ср 17.06,🏃 Лёгкий бег outdoor,Z1 восстановительный,55–65,"Лёгкий бег 9 км по улице. Темп 7:00–7:30/км. ЧСС строго ≤ 145. Расслабленно, в удовольствие.",Z1 (133–145),Аэробная база лёгкая
чт 18.06,🏃 Длительный (разгрузочный),Z1–Z2 специфика,100–115,"Длительный 17 км (главный объём недели, но в разгрузочном режиме). Темп 6:50–7:20/км. ЧСС ≤ 150. Outdoor с D+ если есть. 2 геля. НЕ длинный пик — спокойно.",Z1–Z2 (140–150),Поддержание длительной выносливости
пт 19.06,🏔️ Силовая ходьба в гору + 🪜 Стеймастер (умеренно) + 🧘 Кор,Power-hike + горная специфика,70–80,"Силовая ходьба 30 мин (8% → 12% → 15% × 5 мин → 10%). Стеймастер 20 мин Z2. Кор 10 мин. Умеренно — это разгрузка, не выкладываться.",Z2–Z3 (148–168),Горная специфика (лёгкая)
сб 20.06,🚗 Дорога / отдых,Восстановление,—,В дороге. Полный отдых. Растяжка по возможности.,—,Отдых
вс 21.06,🚗 Дорога / отдых,Восстановление,—,В дороге. Полный отдых. Готовность к блоку 3.,—,Отдых
,,,,,
========== НЕДЕЛЯ 26 (21.06–28.06.2026) ==========,,,,,
Период: Соревновательный (Период 3) — неделя 1 | Тип: 🏔️ ГОРНЫЙ СБОР НА АЛТАЕ,,,,,
"Цели: Реальные горы! Накопить ВЕРТИКАЛЬ (дома плоско) — главная специфика гонки 78км/5700м. Перепад в окрестностях 600 м, высшая точка 1100 м. Свежий после разгрузки (выносл.116 рекорд). Время на ногах + спуски на технике + треккинг.",,,,,
"⚠️ Незнакомый технический рельеф — на спусках ОСТОРОЖНО (риск травм). Входить в объём постепенно: Вс-Пн умеренно → Ср пик → Чт восстановление. Палки на подъёмах. Слушать тело.",,,,,
"Состав: 5 трейлов в горах + 1 силовая (зал). Сб-Вс (27-28) — дорога домой, тренировок нет.",,,,,
"Объём: ~75–85 км трейл | D+ ~3500–4200 м 🔥 | Силовые: 1×ноги+кор (зал, вт) | Без дорожки/стеймастера — только природа",,,,,
,,,,,
День,Тип тренировки,Подтип / Цель,Время (мин),Примечание / Содержание,Зона ЧСС / Темп,Цель дня
вс 21.06,🥾 Раскатка с дороги (трейл),Z1 знакомство с рельефом,60–75,"Лёгкий трейл/поход 8–10 км, D+ 200–300 м. Размять ноги после дороги, познакомиться с местностью. Очень спокойно, ЧСС ≤ 145. Палки попробовать.",Z1 (133–145),Адаптация + разведка троп
пн 22.06,🏔️ Горный трейл — день 1,Z1–Z2 + подъёмы/спуски,180–210,"Горный трейл 18–22 км, D+ 800–1000 м. Подъёмы — power-hike с палками (Z2–Z3), спуски — КОНТРОЛИРУЕМЫЕ (техника, эксцентрика), равнина — лёгкий бег. Питание/вода с собой. Не выкладываться.",Z1–Z3 (140–165),Первый большой набор вертикали
вт 23.06,💪 Силовая ноги + кор (зал) + 🚶 восстановление,Сила + лёгкое восстановление,60–75,"Зал: силовая ноги 35 мин (присед, выпады, step-ups, эксцентрика, икры) + кор 12 мин. Опционально лёгкая прогулка/трейл 5–6 км Z1 для восстановления ног.",Z1 / силовая,Сила для гор + восстановление
